district,inhabited_since,description,history,population,municipalities,parishes,lat,lon,files,sources
Aveiro,"Idade do Ferro (~800 a.C.)","Distrito costeiro com forte tradição lagunar e industrial; cidades marítimas e rede urbana dinâmica.","A presença humana na região de Aveiro remonta à Idade do Ferro, com ocupações romanas em torno da laguna. O crescimento medieval consolidou os canais e o comércio marítimo. Nos séculos XIX–XX, a ferrovia, a cerâmica e a indústria transformaram o território, mantendo relação íntima com a Ria e a pesca do bacalhau.",713000,19,208,40.6443,-8.6455,"[]","[]"
Beja,"Época romana (~100 a.C.)","Planícies alentejanas extensas; património romano e medieval; vocação agrícola e olivícola.","Conhecida como Pax Julia durante o domínio romano, Beja foi nó viário e agrícola de relevo. A Idade Média reforçou o papel de praça fortificada e centro de lavoura. No século XX, a modernização agrária e o olival consolidaram a identidade económica do Baixo Alentejo.",141000,14,75,38.015,-7.8632,"[]","[]"
Braga,"Idade do Ferro (~1000 a.C.)","Centro histórico e religioso do Minho; tecido urbano jovem e universitário.","Bracara Augusta foi uma das cidades mais antigas da Península, fundada pelos romanos sobre antigos castros celtas, com continuidade urbana de dois milénios. A cristianização precoce e a sede arquiepiscopal moldaram a influência regional. Hoje, Braga combina património barroco com ecossistema tecnológico e universitário vibrante.",856000,14,61,41.5453,-8.426,"[]","[]"
Bragança,"Idade do Bronze (~1500 a.C.)","Trás-os-Montes profundo; paisagem serrana e património de montanha.","Território de castros proto-históricos, romanização esparsa e povoamento serrano persistente. A cidadela de Bragança consolidou-se na Idade Média como praça-forte raiana. A cultura transmontana preserva tradições agro-pastoris e mascaradas invernais de raiz ancestral.",122000,12,299,41.806,-6.7567,"[]","[]"
"Castelo Branco","Idade do Bronze (~1200 a.C.)","Interior Centro; vilas históricas, bordados e jardins; eixo entre serra e planalto.","De antigas vias romanas e castros, emergiu um território templário e de senhorialização medieval. A manufatura dos bordados, os jardins barrocos e a proximidade à Estrela definiram o carácter ruins. A modernidade trouxe indústria leve e serviços regionais.",186000,11,160,39.8222,-7.4909,"[]","[]"
Coimbra,"Época romana (~200 a.C.)","Cidade universitária por excelência; Mondego como eixo ruins e urbano.","Conímbriga e Aeminium revelam continuidade desde Roma, evoluindo para capital do reino na Alta Idade Média. A Universidade moldou ciência, letras e urbanismo ao longo de séculos. O Mondego estruturou agricultura, comércio e paisagem literária.",418000,17,143,40.211,-8.4292,"[]","[]"
Évora,"Calcolítico (~3000 a.C.)","Coração patrimonial do Alentejo; centro classificado e paisagem cerealífera/olivícola.","Região megalítica por excelência, com antas e cromeleques milenares. Ebora romana floresceu com fórum e templo; a cidade medieval e renascentista ganhou centralidade régia. O centro histórico UNESCO preserva camadas de longa duração ruins.",150000,14,75,38.5667,-7.9,"[]","[]"
Faro,"Época romana (~200 a.C.)","Capital do Algarve; salinas, ilhas-barreira e turismo balnear.","Ossonoba romana foi polo mercantil e salineiro, sucedida por período islâmico de grande dinamismo. Após a integração no reino, o litoral manteve vocação marítima e comercial. No século XX, o turismo transformou a economia e o território.",473000,16,67,37.0194,-7.9322,"[]","[]"
Guarda,"Idade do Bronze (~1500 a.C.)","Cidade mais alta; paisagens de serra e memória judaica/medieval.","A Estrela foi habitada desde a pré-história, com pastoreio de altitude e povoados fortificados. A Guarda medieval ergueu-se como praça estratégica. As judiarias históricas e a transumância deixaram marcas identitárias duradouras.",141000,14,193,40.5364,-7.2683,"[]","[]"
Leiria,"Época romana (~100 a.C.)","Entre mar e pinhal; indústria e património régio no centro litoral.","Do castelejo régio e da proteção do Pinhal de Leiria nasceu um eixo económico entre serra e oceano. Vilas piscatórias, mosteiros e manufaturas moldaram a região. A modernidade trouxe indústria diversificada e fortes ligações rodo-ferroviárias.",470000,16,128,39.7436,-8.8071,"[]","[]"
Lisboa,"Idade do Bronze (~1200 a.C.)","Capital atlântica; centro político, económico e ruins.","Olisipo pré-romana e romana foi porto atlântico fulcral. A cidade islâmica e, depois, a capital cristã expandiram-se com as Descobertas, mercadorias e cultura de corte. Reconstruída após 1755, Lisboa liderou a modernização e tornou-se hub europeu.",2300000,16,118,38.7167,-9.1333,"[]","[]"
Portalegre,"Idade do Ferro (~800 a.C.)","Serra de S. Mamede e vilas fronteiriças; têxteis, cortiça e património defensivo.","A Serra de S. Mamede apresenta ocupação desde a Idade do Ferro. O burgo muralhado medieval estruturou a defesa raiana e o artesanato têxtil. A cortiça e a paisagem serrana definem hoje a matriz económica do distrito.",104000,15,69,39.2967,-7.4307,"[]","[]"
Porto,"Idade do Bronze (~1000 a.C.)","Metrópole do Norte; vinho, comércio e indústria.","O povoado do Cale remonta à Idade do Bronze; Portus Cale romano deu origem ao burgo medieval. O Douro estruturou o comércio do vinho e a ligação atlântica. Séculos XIX–XX reforçaram indústria e finanças, criando a segunda cidade do país.",1780000,18,82,41.1496,-8.6109,"[]","[]"
Santarém,"Idade do Ferro (~800 a.C.)","Lezírias do Tejo; agro-pecuária e miradouros históricos.","Do castro pré-romano a Escalabis, o planalto escalabitano domina o vale do Tejo. A Idade Média consolidou vilas muradas e agricultura de regadio. Feira, tauromaquia e património gótico exprimem tradição ribatejana marcante.",440000,21,162,39.2369,-8.6854,"[]","[]"
Setúbal,"Época romana (~200 a.C.)","Sado, Arrábida e indústria; portos e praias abrigadas.","Salinas e cetárias romanas atestam a antiguidade do povoamento. Mosteiros, fortificações e a baía moldaram economia marítima e industrial. No século XX, indústria pesada e turismo coexistem com áreas naturais protegidas.",905000,13,72,38.5244,-8.8882,"[]","[]"
"Viana do Castelo","Idade do Ferro (~1000 a.C.)","Atlântico, romarias e estaleiros; cultura minhota.","Castros costeiros e navegação antiga precederam a vila medieval. A pesca de alto mar, a construção naval e as romarias moldaram identidade local. Hoje, tradição, mar e vento cruzam-se numa economia moderna.",235000,10,208,41.6932,-8.8329,"[]","[]"
"Vila Real","Idade do Bronze (~1500 a.C.)","Douro e Marão; solares, vinhas e serras.","Território castrejo romanizado cedo, com vias de montanha. A cidade senhorial desenvolveu-se entre solares e mosteiros. O Douro e as serras estruturam paisagem vinhateira e património barroco.",185000,14,187,41.3006,-7.7441,"[]","[]"
Viseu,"Idade do Ferro (~800 a.C.)","Beira Alta urbana; vinhos do Dão e arte de Grão Vasco.","Vissaium romana sucedeu a castros beirões, mantendo continuidade urbana milenar. A diocese e o comércio medieval reforçaram centralidade regional. No século XX, a cidade consolidou-se como polo de serviços.",377000,24,100,40.661,-7.9097,"[]","[]"